Date,Ticker,Price,Direction,Action,Shares,Cash Before Trade,Cash After Trade
2026-01-02,AAPL,270.76,TREND_DOWN,HOLD,0,500000.0,500000.0
2026-01-02,AMZN,226.5,NO_TREND,HOLD,0,500000.0,500000.0
2026-01-02,GOOG,315.1,NO_TREND,HOLD,0,500000.0,500000.0
2026-01-02,NFLX,90.99,TREND_DOWN,HOLD,0,500000.0,500000.0
2026-01-02,META,649.85,TREND_UP,BUY,20,500000.0,486906.2
2026-01-05,AAPL,267.01,TREND_DOWN,HOLD,0,486906.2,486906.2
2026-01-05,AMZN,233.06,NO_TREND,HOLD,0,486906.2,486906.2
2026-01-05,GOOG,317.1,TREND_UP,BUY,10,486906.2,483735.2
2026-01-05,NFLX,91.46,TREND_DOWN,HOLD,0,483735.2,483735.2
2026-01-05,META,658.23,TREND_UP,BUY,10,483735.2,477152.9
2026-01-06,AAPL,262.11,TREND_DOWN,HOLD,0,477152.9,477152.9
2026-01-06,AMZN,240.93,NO_TREND,HOLD,0,477152.9,477152.9
2026-01-06,GOOG,314.33,NO_TREND,HOLD,0,477152.9,477152.9
2026-01-06,NFLX,90.65,TREND_DOWN,HOLD,0,477152.9,477152.9
2026-01-06,META,660.05,TREND_UP,BUY,10,477152.9,470552.4
2026-01-07,AAPL,260.09,TREND_DOWN,HOLD,0,470552.4,470552.4
2026-01-07,AMZN,241.56,NO_TREND,HOLD,0,470552.4,470552.4
2026-01-07,GOOG,322.2,NO_TREND,HOLD,0,470552.4,470552.4
2026-01-07,NFLX,90.73,TREND_DOWN,HOLD,0,470552.4,470552.4
2026-01-07,META,648.14,TREND_UP,BUY,10,470552.4,464071.0
2026-01-08,AAPL,258.8,TREND_DOWN,HOLD,0,464071.0,464071.0
2026-01-08,AMZN,246.29,NO_TREND,HOLD,0,464071.0,464071.0
2026-01-08,GOOG,325.78,NO_TREND,HOLD,0,464071.0,464071.0
2026-01-08,NFLX,90.53,TREND_DOWN,HOLD,0,464071.0,464071.0
2026-01-08,META,645.51,TREND_UP,BUY,10,464071.0,457615.9
2026-01-09,AAPL,259.13,TREND_DOWN,HOLD,0,457615.9,457615.9
2026-01-09,AMZN,247.38,NO_TREND,HOLD,0,457615.9,457615.9
2026-01-09,GOOG,328.91,NO_TREND,HOLD,0,457615.9,457615.9
2026-01-09,NFLX,89.46,TREND_DOWN,HOLD,0,457615.9,457615.9
2026-01-09,META,652.5,TREND_UP,BUY,10,457615.9,451090.9
2026-01-12,AAPL,260.01,TREND_DOWN,HOLD,0,451090.9,451090.9
2026-01-12,AMZN,246.47,NO_TREND,HOLD,0,451090.9,451090.9
2026-01-12,GOOG,332.5,NO_TREND,HOLD,0,451090.9,451090.9
2026-01-12,NFLX,89.41,TREND_DOWN,HOLD,0,451090.9,451090.9
2026-01-12,META,641.42,TREND_UP,BUY,10,451090.9,444676.7
2026-01-13,AAPL,260.81,TREND_DOWN,HOLD,0,444676.7,444676.7
